用户名,评论日期,车型款式,评星,裸车价,油耗,购车时间,评价内容
悬崖勒怎么办,2020-10-15,奥迪A6L 2020款 40 TFSI 豪华致雅版,5.00,39.0,10.5L/100km,2020-07,"刚开始是定位A6L乞丐版的,也没什么好选的,中大型BBA就它性价比最高了( 最便宜),但又听说A6L的质量等一系列问题又犹豫了一段时间。那好吧,对比了 ES200更省钱、省心了，过年前问,落地要35万多, 2.0的乞丐版,加价2万, 还不是现车啊!所以,后来还是选A6L吧!"
賈軒7LCuD8,2020-10-01 1 条追评,奥迪A6L 2007款 2.4 CVT 尊贵型,5.00,52.0,9L/100km,2007-12,当时买这个车算是豪华的 无论外形和动力来说 没得挑
雍容华贵蜻蜓5099,2020-10-03,奥迪A6L 2020款 55 TFSI quattro 尊享致雅版,5.00,48.0,9.5L/100km,2020-07,一进车店的第一眼我就看到了A6虽然不是特别亮眼，但是越看越耐看，改款之后感觉车身加长了不少，颜值也提高了不少
啊远啊84,2020-07-16 1 条追评,奥迪A6L 2020款 40 TFSI 豪华动感版,5.00,33.8,8.9L/100km,2020-07,一开始是在s90 五系 A6之间考虑了好久，然后首先考虑了保值的情况没有买s90再后来给4s店打电话的时候宝马的服务态度直接就很让人反感了 因为我的年龄较小，当时奥迪没改款得时候是没有考虑a6的后来改款了一眼就惊艳到了然后因为某些原因拖到现在才买
世界那么大一起看,2020-07-20,奥迪A6L 2019款 45 TFSI 臻选动感版,5.00,43.3,11L/100km,2019-07,不愧是中国的官车，空间足够大，乘坐舒适，日常家用足够了，后排空间非常的给力性价比很高
小富LA44rp,2020-06-22,奥迪A6L 2016款 45 TFSI quattro 运动型,4.00,42.0,9L/100km,2016-05,家庭用车需要一台成熟稳重的车，宜商宜家又不想太商务所以选择3.0T
王洋8567,2019-08-24,奥迪A6L 2019款 45 TFSI quattro 臻选动感版,5.00,39.0,9L/100km,2019-07,对A6情有独钟 就去看了看奔驰E 感觉不是自己想要的 果断回来选A6 上一台车也是A6
杜卡迪迪迪,2019-08-10,奥迪A6L 2018款 30周年纪念版 TFSI 进取版,5.00,35.68,7.7L/100km,2018-06,看过本田冠道，其实我感觉挺好的，后排前排空间都无敌，无奈老婆看不上，说这是个本田再换还是本田，那就别换了。后来直接到奥迪4s店看车。试驾一下，感觉挺稳重的，方向盘灵活。主要看重外观，时尚大气很耐看。
热爱生活热爱音乐,2019-07-24,奥迪A6L 2018款 30周年纪念版 TFSI 进取版,4.00,35.0,9L/100km,2019-03,一直都很喜欢奥迪这个牌子，低调，内敛有品味，这就是我对它的评价.当时买车就觉得要买奥迪车，众多车型为什么要选择它呢，其实第一眼的感觉很重要，轿车个跑车结合的外表很吸引我，而且内饰的空间大，各种丰富的配置，用一句话来形容就是，高端大气上档次，低调奢华有内涵，
徐玉娟姐,2019-07-24,奥迪A6L 2019款 45 TFSI quattro 臻选动感版,5.00,44.0,,2019-06,配置：全景天窗、运动座椅、三个大屏幕、倒车影像、手机互联MMI、城市前部版安全系统、氛围灯、BO音响
小小碧燕,2019-06-25,奥迪A6L 2019款 45 TFSI quattro 臻选动感版,5.00,44.0,,2019-05,【分享我的爱车】 #最满意# 1、内饰：三块大屏幕的设计，真的很显豪华高档，类似A8的设计，并且屏幕上会有按键触摸反馈； 2、座椅：选择的是动感型，座椅是带翻毛皮的，我个人比较喜欢，更透气，更有运动气息，也不至于那么的压抑； 3、LED大灯，不得夸一夸奥迪做灯的的灯厂，前大灯和后尾灯相呼应，确实很犀利大气，辨识度高，照射面积广； 4、空间：C级轿车的空间还是完全够用的，后排乘坐也舒适 #不满意# 车门不太好关闭，经常有关不紧的情况，要很用力才行 #选车理由# 同级别车型来说，性价比还是不错的，这一款车型改款很成功，奥迪的品质一直都非常的认可，从做工
啊今天我考虑,2019-06-19,奥迪A6L 2019款 45 TFSI 臻选致雅版,5.00,40.2,12L/100km,2019-02,本人2019年购买了19款的奥迪a6l. 最满意的地方就是这款车的外观，以前考虑了奥迪的a4l，但是空间比较小，还有就是乘坐奥迪a6l比较舒服。新款车型配备矩阵式大灯， 空间方面比老款大一些，之前还感觉这次改款之后后备箱变小了，用了一段时间感觉后备箱非常深。不错的空间非常够用。 动力方面采用高功率，2.0t涡轮增压发动机，起步的时候还是比较冲的，但是到后期感觉没有机械增压的好。 个人感觉方向盘还是比较轻便的，要比奥迪a4l重一些。而且转向比较精准，但是车身比较长，在市区内行驶，转弯半径比较大。 目前百公里，在市区内行驶的油耗在12升油，严重拥堵的路况更高
ycresets32369064,2019-05-23,奥迪A6L 2017款 30 FSI 技术版,4.00,43.8,,2017-05,"选择台车主要还是因为外观漂亮,动力十足。品牌大，能拿得出手。"
ycresets32722812,2019-05-10,奥迪A6L 2018款 35 TFSI 典藏版,5.00,41.7,,2018-03,"大品牌值得信赖，动力足,外观抢眼,安全系数高,舒适。"
子3730704,2019-05-06,奥迪A6L 2017款 TFSI 技术版,5.00,42.0,9L/100km,2017-08,买车主要参考品牌。外观必须帅气。开起来又舒服。好几个朋友都介绍奥迪。看来看去也是a6 :较适合。
ycresets33056729,2019-05-05,奥迪A6L 2017款 TFSI 舒适版,4.00,45.0,,2017-03,"外观大气,动力强劲,空间宽敞舒适。"
80后刘郎,2019-05-01,奥迪A6L 2017款 30 FSI 技术版,5.00,37.0,11L/100km,2017-08,【本人于2017年购买了2017款奥迪A6L技术型】 入手A6L后，朋友从早期叫我姓名到后期叫我四圈车，最后简称我为四圈。可见这个四个圈的品牌在国内的口碑和魅力还是 较富影响力。 #最不满意 品牌溢价偏重，价格偏高。（不满意和满意放在一起心理就平衡了） #最满意 都很满意，不限于外观、内饰、动力与品质，从面到点都做得较完善的一款车。 #外观 气场也是非常足，商务味浓，有人可能会说品牌衬托出气质，但我觉得即使把四个圈扣掉的话，它的外观设计绝 对也是高颜值。 #内饰 用料讲究，做工细节处理较好。中控伸缩屏设计较人性化，也显科技
98K突击,2019-04-16,奥迪A6L 2017款 30 FSI 技术版,4.00,38.0,11L/100km,2017-07,整车大气，做工样式奢华，舒适感好，档次感很高，品牌的价值体现身份
快如闪电雪梨3805,2019-04-15,奥迪A6L 2019款 45 TFSI quattro 臻选动感版,4.00,43.8,11.7L/100km,2019-03,之前一直在纠结奔驰e和新奥迪，最后还是选择了奥迪，a6的内饰和侧脸确实更吸引我。
晦迹韬光椰子3343,2019-04-15,奥迪A6L 2019款 45 TFSI quattro 臻选致雅版,5.00,47.88,10L/100km,2019-01,#最满意 最满意的地方就是新款奥迪A6L的这个中控了，我个人认为这个可是2019款的A6最大的卖点了，真的是非常的有科技感，也非常的帅。 #最不满意 不满意的地方就是新款的A6还是延用了EA888的第三代，虽然和二代的EA888相比，三代的发动机优势很大，但是还是避免不了后期烧机油的问题，我觉得虽然新车刚上市，但是6-7万公里以后烧机油估计是跑不了了。 #空间 新款A6的空间一如既往的优秀，虽然融入了很多年轻运动的元素，但是空间的表现没有打很大的折扣，当然后排的头部空间比起上一代略有缩小，但是不影晌。 #外观 这次的A6L外观也有了很大的改观，
ycresets32083222,2019-04-11,奥迪A6L 2017款 30 FSI 技术版,5.00,39.5,13L/100km,2018-03,性能好，空间足够大，外观漂亮，操控性强。
一直纵容你88,2019-04-06,奥迪A6L 2017款 45 TFSI quattro 运动版,4.00,48.0,9.5L/100km,2017-05,奥迪A6L车型非常的成熟，速度与舒适性还有操控上都很兼得，科技感非常强，整车的配置高，性价比我觉得很不错
ycresets28904816,2019-03-25,奥迪A6L 2019款 45 TFSI 臻选动感版,5.00,43.38,8.5L/100km,2019-03,"#内饰 全新的奥迪A6L的内饰就是我选择这个的车一大部分的理由确实是做出了很大的改变，整体风格可以说是科技感十足，开出去上哪都显得很高端可以说是买了台A6，顶替了一台A8,的商业价值，可能是新款跟a8太像了，走哪都有人说我去换A8啦，中控台三块大屏一看就显得很大方，（几乎是跟A8一模一样）看着就很喜欢！尤其是仪表全液晶显示时速表也是可变大变小切换，满满的科技感，内饰座椅是偏软的，我的是运动座椅，包裹性真的是超级好，摸上去质感很好类似于翻毛皮那种，很对的起这个价位。细节奥迪这方面不得不说处理很到位！ #空间 A6L的空间就不用多说了轴距就三米多，那么大的空"
Yangwiei,2019-03-25,奥迪A6L 2019款 45 TFSI 臻选致雅版,5.00,43.38,,2019-01,#最满意 #最满意 可以说是A6L的外观，我相信不少人看到A6L，都会被他的外观所震撼，【商务选雅致型，个人用建议选择运动型】雅致版可以说是成熟稳重，整体很有厚重感，造型很有风度！运动版可以说是静若处子，动若疯兔。我买的是标配雅致型，它的内饰风格我很喜欢，前大灯是矩阵灯，内饰设计是不得不夸突破科技启迪未来。 #外观 新款的A6L外观更加有时尚元素些，整体也是打破奥迪一贯的经典外观，变得更加成熟稳重，车头很有厚重感，车身5米多，很像领导座驾！大灯看起来很漂亮，车身线条流畅度高，做工很不错，19寸的轮毂很大很帅气，超大的全景天窗，看着就很舒服A6L的内饰做工
内敛的小鹿3666,2017-11-20,奥迪A6L 2018款 30周年纪念版 TFSI 进取版,5.00,40.6,8.8L/100km,2017-07,#油耗 油耗方面还算可以，车子提回来有几个月了，目前行驶三千多公里，主要都是在市区行驶，平均油耗8.8L，对于这个级别的车来说算是比较省油的。 #操控 对于这么庞大身躯的车子，操控方面自然比较稳当，不算很灵活。平常开车也不敢暴力驾驶。这车方向盘沉稳，指向性很明确。车子挂档还算顺畅，不会很卡顿。 #性价比 在BBA车型当中，奥迪车的性价比自然不用多说，都是大家公认好。虽然说A6L价位方面有点高，但是在了解它各方面性能之后，自然觉得这价位很值得。配置丰富，外观十分霸气，空间感不错，很值得拥有。 #动力 这车1.8T的动力对我来说很够用，平常主要是在市区行驶，
正文51,2017-10-14,奥迪A6L 2017款 TFSI 技术版,4.00,39.0,11L/100km,2017-09,#不满意 驾驶座座椅薄，短，窄，不够舒适，要是后排中间的凸起能改掉就更好了 #满意 外观大气，车灯漂亮，空间充裕，科技配置丰富，内饰豪华，动力还可以 #总评 看了沃尔沃s90，Q5，捷豹，路虎发现。沃尔沃车感觉有些傻大笨重的感觉，内饰科技感也没那么强，Q5马上更新还代了，除了全时四驱与不过时的外观，没有可选之处啊，捷豹对于我这么一个上班族来说，开着感觉总有那么点张扬，而且嫣红色的外观个人真是不喜欢，值得强调的是沃尔沃和捷豹的动力真的还不错。奔驰宝马性价比不高，最后争取了媳妇的意见，最终选择了品牌外观内饰等都看得过眼的A6L，皆大欢喜，全家都很喜欢，个人开
能言善道菠萝4438,2016-01-31,奥迪A6L 2014款 TFSI 标准型,5.00,39.1,9L/100km,2015-12,#油耗 出乎意料，综合9个油耗，家用经济 #动力 动力好，超车毫无压力，提速快 #性价比 性价比较高 #配置 功能还算不错，自己驾驶配置较全面的车了，配置科技感较强 #操控 换挡平顺，有推背感，无顿挫，指向精准，操控起来轻盈 #空间 储物空间不大，乘坐空间足够 #外观 外观不用说，绝对的低调豪华，信心多数人都喜欢 #舒适度 驾乘舒服度较高 #内饰 内饰没有想象中的那么完美，横向中控，加强了视觉延伸。 #总评 恭喜此帖荣登首页欢迎楼主下载“车友之家”App，分享您的爱车之道。更多精彩活动等着你！期待加入：http://club.yiche.com/创建属于
龙腾虎跃海豚5315,2024-07-08,奥迪A6L 2023款 40 TFSI 豪华动感型,4.07,33.2,8.5L/100km,2023-11,🕙购车经历： 大概是心情不好的时候想说走就走，出去放松一下，不用有任何的顾虑，不用求别人。在创业初期，我有一台剁椒鱼头代步，这一开也就几年了，倒也是习惯了。不过现在需求不同了，是该有台像样的车子。说实话，现在大家都不认可，就觉得A6L便宜，不如奔驰定位高，但是我真的不太接受奔驰E的各种减配了。A6开起来甩E300八条街，不管是驾乘感受，还是加速性能和静音性那不是E300能比的，300好的就是标，最后直接上A6L不后悔。 内部空间： 在高大的车身上面，A6L的车内空间同样让人满意，特别是后排座椅，坐进去十分宽敞，腿部活动空间也比较宽裕。还有宽敞的后备
含蓄的小鹿2904,2024-07-08,奥迪A6L 2024款 45 TFSI 臻选动感型,5.00,32.0,8L/100km,2024-06,选车时，豪华与舒适成为了我最关心的因素。在众多品牌中，我最终选择了奥迪A6L，主要还是信赖奥迪这个品牌。从我第一次看到奥迪A6L的那一刻起，我就知道它将成为我人生中的一部分。这款车不仅以其优雅的设计和精湛的工艺赢得了我的赞赏，更以其卓越的性能和出色的驾驶体验深深吸引了我。奥迪A6L，就是我信赖的坐骑。 这一代奥迪A6L在外观设计上给人耳目一新的感觉。它不再是那种传统的官车形象，而是更加年轻、动感，充满了活力。内饰方面，奥迪A6L虽然可能与奔驰有些许差距，但整体豪华感还是相当不错的。车内没有那种廉价塑料感，坐在车里能感受到满满的高级感。对于家庭用车来说，空
落落大方石榴3755,2024-07-01,奥迪A6L 2023款 40 TFSI 豪华致雅型,4.14,36.4,9.7L/100km,2023-11,买车时候预算40W左右，只想在BBA选择，在试驾的时候奔驰E级感受了一下，别看是奔驰E级，它后排座垫太短不舒服，果断放弃，又试驾了宝马五系，还有奥迪A6L，奥迪的a6l，这车的感觉确确实实很舒服，不管是前排和后排都有很好的空间表现，比宝马奔驰强，而且价格相对也是更划算，奥迪A6L还是比较大气的，虽然热度不如BB但是实用性绝对碾压它俩。提车回来感觉这款车在使用的过程当中动力很够用，而且也是给足了面子。 油耗表现 平时都是在市区，偶尔会有一些接亲的情况，跑一下乡下，到目前为止油耗能够控制在9.7升左右，这样的油耗对于一款这么大的车来说已经不高了。 😯最不
开门见山香瓜3021,2024-06-25,奥迪A6L 2023款 40 TFSI 豪华致雅型,4.14,35.7,8.6L/100km,2023-04,奥迪A6L提车也一年多了，底盘真稳啊！车有时候就是坐进去和开起来的感觉，这两点，A6绝对拿捏你。当时有看过E，为什么不选300，我就觉得A6操控，底盘质感都在E级之上。 操控很满意！ √A6真的是跑高速，像吸在路面上 √调教特别激进符合年轻人，35岁以上选a6L，35岁以下A7L绝对香。 动力感受！！ √40动力没啥毛病，只能说懂国人想要什么样的动力体验吧！ 油耗能接受！ 满箱油，跑了高速，高架，和市区估计最多就能跑到700多一点，低速可以8.6L，全程高速确实6点多，看脚法和实际路况。 乘坐l舒适度！ 座椅夹脚太窝了，胖人坐在里面太恼火了，座椅好像一直
飞驰的牡丹2969,2024-06-20,奥迪A6L 2023款 40 TFSI 豪华动感型,4.07,35.0,10L/100km,2023-08,🕙购车经历 56E应该怎么选确实是把我弄得纠结不行，公司有台商务车，我想着是家用带点上午性质的，奔驰不太喜欢内饰风格，5系不太敢，转动轴异响弄得人心惶惶。A6L是属于那种无功无过的，但真是最好的选择了。双拼的内饰，看起来很高档，中控的设计比较简洁。用料很讲究，手感也良好，反正就是奥迪家族化的设计。 ⛽油耗 我油耗在8.5-9左右，一年费用2-3万。不要问问就是坐不住。带家人出去玩，自己出去玩，现在省点了，但是也好不到哪去。 空间 我的身高1米75，坐在驾驶舱感觉比较自由，腿部活动空间也蛮足够的。后排座椅表现常规，正常坐三个人不会有明显的拥挤感。其次是
大气的椰子2970,2024-06-20,奥迪A6L 2024款 45 TFSI 臻选动感型,4.57,35.0,8L/100km,2024-06,56e中最好开的咯 外形也很帅气 内饰大气，不过时 油耗没很高 座椅很舒服 黑色高端大气上档次 家用很适合，和老公成家后的第二辆车，很喜欢了，年轻人开也没有老气的感觉！动感比智雅要年轻很多！ 车内空间很大，以后有了孩子也不会拥挤！向所有人推荐奥迪a6l 他再也不是行政车，而是家用车！ 后备箱空间很大，可以放好多东西！而且车子就算是c级车，配着360，也会很好开！
风驰电掣小鹿3036,2024-06-20,奥迪A6L 2023款 改款 45 TFSI 臻选动感型,4.14,34.6,10L/100km,2023-09,个人背景&选车理由: 家里是做生意的，毕业之后父母也让我参与一下，也就算我爸的小跟班吧，之前家里开的就是大众的迈腾在前几年档次还是不错，但是对于现在来说那就在普通不过了，所以父母的建议是换辆稳重点的车，虽然买车不用我花钱，但是我买回来还得我开的多，平时我爸爸有个应酬我就得你开车接送，所以买车也算是给我买的吧！！ 买车过程: 我跟我爸爸一起去的，看车的时候试驾过沃尔沃的s90，车是很稳重就是内饰太老套，还棕色没啥档次，我爸也没相中，本来想看看宝马7系被我爸爸给驳回了，说太高调了，最后老爸意思还去看一下奥迪把，感觉奥迪拿得出手的也就A6L了，还没别说新款升级
ycuser10280588,2024-06-20,奥迪A6L 2024款 55 TFSI quattro 尊享动感型,3.43,44.0,,2024-06,提车不到二十天 网上新车报价40万了 ，十六天就降价4万多 这是咋回事啊？要逆天了吗？
强悍的灵猫2954,2024-06-19,奥迪A6L 2023款 改款 45 TFSI 臻选动感型,4.21,37.4,8.5L/100km,2023-11,选买经历: 为了提高档次换掉了家里的卡罗拉，看车的时候朋友推荐了宝马5系，我感觉太年轻了，还是看看奥迪A6L，这车我关注好几年了，感觉挺适合我这个年龄的人，开出去也是稳重有档次，去试驾的时候感觉还可以，动力够用，选了选配置，定了45甄选动感。 用车也有半年了动力表现： 动力很足，平时在没人的地方我还特意深猜了油门，瞬间推背感就有了，而且我买的是属于高功率的版本，之所以没有买低功率的40版本，是想让车辆的动力有更加好的使用效果，避免后期出现动力不足的情况。 油耗表现: 燃油消耗情况，目前的综合油耗是在8.5升，都是在市区，感觉油耗不高了。 内部空间表
飞驰的麒麟3058,2024-06-18,奥迪A6L 2023款 改款 45 TFSI 臻选动感型,4.14,38.4,10L/100km,2024-04,选买经历： 早在五年前就想买辆BBA，无奈资金不够，只能先买了一辆大众捷达代步，现在有能力买了，我的初心还是BBA，没动摇，和媳妇商量完了，直4S店了，看了宝马3系和5系，还有奔驰C，奥迪A4l和A6，经过试驾，还有咨询朋友，我最终选择了奥迪a6l，价钱适中我能接受，配置也不错，定位是中高级别轿车来着也比较大气，外观也是非常的帅感觉比前几年的老款车上升好几个档次，虽然买完之后就降价了，但心里只能安慰自己早买早享受吧！ 使用感受: 1⃣️最满意： 对于A6L车辆的外观设计，内饰的科技感，车辆的动力表现，燃油的消耗情况，都是非常满意的，这也就是我没有选
追风的蜜枣2877,2024-06-14,奥迪A6L 2023款 改款 45 TFSI quattro 尊享动感型,4.21,41.2,9.2L/100km,2023-08,购车经历 由于家里之前有一台老的奔驰e，开起来虽然不错，毕竟年头比较长了，就准备更新换代一下。去看了宝马的525，看了奥迪的a6l，最后发现，还是奥迪a6l，整体的豪华感和舒适性是很不错的。 最满意: 很是喜欢那种低调的奢华感，选择的45版本，也是因为这个版本配置很丰富，我对动力没有太大的要求，所有就没有选择55的版本。 油耗表现 在市区进行使用的话，百公里是在9升左右，并不算高，也不算低，还是一个可接受的范围内，毕竟这么大的车，2.0t的排量，也很好了。 最不满意 在提车之后，车辆的内饰味道比较的重，每次在开的时候都需要开门通风，但一周之后，这种情况基
才华横溢山竹2955,2024-06-13,奥迪A6L 2023款 45 TFSI quattro 尊享动感型,4.21,35.6,9.3L/100km,2024-05,购车经历: 我觉得是A6和我有缘吧，看了那么多选了A6，对于女司机来说操作起来我觉得没有任何毛病，不喜欢花里胡哨的，我觉得A6外观内饰都是成熟稳重大气吧。老爸当时推荐我买宝马5，奈何爱不起来啊。因为45四驱的呀，驾驶质感太好了，5系其实也不赖，但是外观对比感觉缩水了一点，e级就没有看得上的地方，不喜欢那种风格的内饰。感觉女同志开A6可霸气了，尤其穿西装，戴墨镜哈哈，那绝了。 动力： 我不太懂，但是老爸让我直接上45，数据我也查了下，2.0T 224马力 L4 7挡湿式双离合，我一女生日常开真的够用了。 油耗表现: 平均油耗在9.3左右，高速平均油耗在7
风驰电掣核桃3103,2024-06-11,奥迪A6L 2024款 45 TFSI quattro 臻选动感型,5.00,38.0,10L/100km,2023-11,这是我心心念念的车车啊，终于拥有了它，老爱了，整体外观简约大气，线条流畅！木纹内饰低调时尚，轮毂上的花纹也非常帅气，奥迪不愧是玩灯的啊，大灯太亮眼了，尤其是在下雨天，就一个字，帅！四驱模式开启，速度接着提上来了，感觉就是不一样，果然自己喜欢的车真是哪哪都好，哪哪都顺眼！爱了爱了！爱不释手！
所向无敌大圣3045,2024-06-11,奥迪A6L 2023款 改款 45 TFSI quattro 尊享动感型,4.14,40.3,13L/100km,2023-08,坐标青岛，30岁的大叔和30岁的阿姨都看中了奥迪A6L。 之前家里就有一台老车，开车的时候真的是车内除了音响不响，哪里都响，使用的时候油耗也是比较的高，整体来说都没有太舒适的地方了。这次主要就是想看一看新车，想要换一台适合我家用的，预算是在35万左右到40万左右。看车的时候我和我媳妇试驾了宝马的5系和奥迪的a6l，宝马5系太过于高调，满大街都是爱不起来啊，最后还是选择了奥迪的a6l这款车，媳妇中意，平时她也开，所以选车还是以媳妇为主啊。 使用感受方面，车子已经用了马上一年了。奥迪a6l的使用感受真的是很舒服，不管是车辆的乘坐舒适度还是驾驶舒适度，都能够
超群绝伦布偶2887,2024-06-04,奥迪A6L 2023款 40 TFSI 豪华动感型,4.21,38.4,12L/100km,2023-11,【购车经历】 选择这台车的主要理由，跟简单，可商可家，毕竟自己创业，还是要有台拿出手的车。虽然大家都知道奔驰宝马是豪车，但其实奥迪也是豪车品牌。但相比前两者来说，奥迪给人感觉相对要低调一些了。不过我更看重的还是奥迪的低调，稳重，没有太多炫技的东西。a6我认为是我心目中最完美的轿车，低端局家用不违和，中端局商务接待不违和，高端局政府用车不违和，3代ea888也不烧机油，湿式双离合也不怕堵车，全方位的使用场景，神中神。 【最满意】 这款车就是中规中矩，但也是它的特色。让人很安心，开起来说不上最好，但是各方面表现均衡，没有特别的短板。开的时间越久，越喜欢这个“
过目不忘苹果2724,2024-04-13,奥迪A6L 2022款 45 TFSI 臻选动感型,4.64,39.8,9.4L/100km,2022-06,"🚗购车经历: 2021年就打算买奥迪A6L的，但是因为一些原因生意受到了影响，所以买车的事情就搁置了。好在2022年的时候生意慢慢好转了，资金也周转过来了,买车的事情又提上了日程。而且新款奥迪A6L外观颜值也挺出众的，平时做生意确实也需要一台好车撑门面的，而且奥迪A6这台车空间也挺宽敞的，作为家用车也能照顾好日常，对我来讲是实用性很全面得一台车，价格也在我的预算内，所以很快就定了下来。4s店还送了不错的提车仪式，我和老婆一起去提车，给我老婆送了一束鲜花，另外也送了全车贴膜、代金券和免费首保。 💰费用详情: 裸车：39.8万 购置税：当时购置税3.6"
车手51159469SX,2024-04-24,奥迪A6L 2024款 40 TFSI 豪华致雅型,5.00,46.0,,2023-04,奥迪A6L的外观设计时尚、大气，线条流畅，前脸的六边形进气格栅和LED 大灯极具辨识度，尾部贯穿式尾灯和微微上翘的扰流板展现出运动气息。车身尺寸恰到好处，既保证了乘坐空间，又不会显得过于庞大，总之，奥迪A6L的外观非常符合我的审美需求 打开车门，奥迪A6L的内饰同样让人惊艳。简洁大方的设计风格，豪华感十足，真皮座椅触感细腻，填充物饱满，坐上去舒适度极高，中控台配备了两块大尺寸屏幕，科技感满满，此外，车内的储物空间设计也非常人性化，便于日常使用。 动力篇: 我选择的这款奥迪A6L搭载了一台2.0T涡轮增压发动机，最大功率185kW，最大扭矩370N·m，匹
周昊勋,2024-04-22,奥迪A6L 2023款 45 TFSI 臻选动感型,4.86,34.0,9L/100km,2023-01,动力没得说 随叫随到 唯一不好就是底牌太低 容易拖底
足智多谋哈密瓜2616,2024-04-12,奥迪A6L 2024款 45 TFSI 臻选动感型,4.64,38.0,,2024-03,当时去4s店谈的分期最后又全款买的 驾驶体验没的说 就是车机比较一般般 油耗一般8-9个还是可以的
玉兔车手01152999,2023-10-31,奥迪A6L 2023款 40 TFSI 豪华致雅型,3.79,38.5,7L/100km,2022-09,"【购车经历】对于奥迪a6的外观比较青睐，预算40万左右，对比了宝马五系还有雷克萨斯等车型，针对本人年龄50+，认为奥迪A6车型稳重大方，低调有内涵，开起来气场全开。其他各方面没有特别大的需求，宝马五系可能更适合年轻人一些，气质不太匹配，雷克萨斯起步体验不是特别满意。 【提车价格】奥迪A6 40豪华致雅23款 40万 【能耗表现】苏州杭州上海我跑的比较多,高高速上开一般表显7左右。城市高架上车少的时候匀速880开就特别省油,6左右。不过都是有意识的控制滑滑行的启停才到这么多的。不刻意正常开的话综合油耗表显显在8-9的样子。 【驾驶感受】A6方向盘不重，对于"
盖世的稻米1219,2023-10-31,奥迪A6L 2023款 45 TFSI quattro 臻选动感型,4.86,37.0,11.5L/100km,2023-09,在同级别豪华型轿车BBA里能和奥迪A6L相媲美的有奔驰E，宝马5系，这使三大豪华品牌互相竞争，但对于追求时尚档次和大空间性价比的车主来说奥迪A6L是非常不错的选择。 外观：我选择的这款是指导价47.99万，23款2.0T 45 四驱配置，它前脸大气，进气格栅选择了多边形，四个圈圈紧紧环绕，既有层次又有档次，配有LED大灯，毕竟奥迪是灯厂，矩阵式大灯更是亮点，它的辨识度非常高，它的外观各个角度抓拍都是无敌酷炫。 油耗：因为我是新手女车主，综合油耗11.5L/KM，城区较堵。等过了首保，熟练以后，油耗会有所降低，大部分车主都是7-10L/KM，作为大型家用轿
麒麟车手00251288,2023-09-19,奥迪A6L 2022款 45 TFSI quattro 尊享动感型,4.57,40.0,10.2L/100km,2022-03,北京车友留。在北京买车，懂得都懂，不是想买就能买的！当我收到摇号中签的信息后，内心那真是小鹿乱撞，久久不能平静～在2022年的一天，我有幸试驾了全新的奥迪A6L。这款车给我留下了深刻的印象，它不仅拥有优雅的外观和豪华的内饰，还有出色的性能和先进的科技配置。 首先，让我们从外观开始谈起。这边我就不得不提，我在店内选装了MTM原厂套件，包含前后包围，这让我直接挣了2个w➕，这里按下不表前脸的六边形进气格栅和犀利的大灯组相得益彰，给人一种强烈的视觉冲击力。车身侧面修长而稳重，彰显出豪华轿车的尊贵感。尾部的设计简洁大气，LED尾灯与镀铬装饰条相互映衬，使整个车
好想睡觉HS9f,2023-09-18,奥迪A6L 2023款 改款 45 TFSI quattro 臻选动感型,4.43,36.68,9.6L/100km,2023-09,🚗购车经历 起初是去看 A4L 的但是父母没有看上，看上 A5 了，后来去问了一下价格，跟 A6L 40TFSI 价格差不多，然后就选择了 A6L，一开始看的是 40 也就是最低配，经过商议决定买个 45 的四驱，毕竟两驱四驱价格方面差的不多 🐎驾驶感受 驾驶感受这方面我倒是感觉不出来，我就感觉比我之前试驾过的国产车体感上来说感觉更加的厚重 💺乘坐感受 很后悔没有选择致雅的座椅，动感偏硬，长途不太舒服 【动力表现】 动力方面是够我用的，动力延迟也是有的，S 档基本上没有延迟，D 档可以明显感觉到动力来的有延迟性，不过也是很够我用的了，高速超车也是
车主ABCdg,2023-07-31,奥迪A6L 2023款 改款 45 TFSI quattro 臻选动感型,4.00,42.0,8L/100km,2023-07,试驾过奔驰 宝马 奥迪 操控舒适还得宝马，因为之前就开的宝马，奔驰太张扬了，还数奥迪稳重低调些，油耗高速6.8市区就没法算，停车开空调是常事没法计较 空间真实大，目前发现问题 刚启动后转向打死转弯会抖动 ，自己本身不爱惜车，就是个工具而已，33岁换了七八个车了，但愿奥迪不让人失望 ，就这玩意都有优缺点，其他还么发现，提车简简单单，半天完事，无仪式 ，无留影 ，感觉还没有买个二手车隆重
靓丽的飞牛1014,2023-07-28,奥迪A6L 2023款 改款 40 TFSI 豪华致雅型,4.07,38.99,7.5L/100km,2022-11,空间表现还可以，后排非常宽敞，敲二郎腿无压力 油耗目前高速是6个油，市区差不多在7~8油，可能我开的不是很猛，但基本上也OK。一箱油95加满，差不多五百多块钱，能跑一千二百多公里，但油表最多就显示到1160km。 中控区域就是没地方放手机，放了杯子手机就得塞中央扶手箱或者放手机支架上。储物空间不是很灵活。 前排座椅感觉是腿部缺少支撑，跑长途容易累，少了个腿托。 胎噪还可以接受，主要是风噪大，感觉接缝处漏的厉害。 车机真的非常非常的迷惑，不是登不上就是在重新登陆的路上😂😂😂
